CC No.,Type,Train number,Train name,Start Station name,End Station name,Stoppage Station name,Date of Issue
204,stoppage,22987/88,Ajmer-Agra Fort Express,,,Kishangarh,09.03.2024
204,stoppage,82653/54,Yesvantpur-Jaipur Express,,,Kishangarh,09.03.2024
201,stoppage,03379/80,Barauni-Patna Memu Special,,,Fateha,09.03.2024
201,stoppage,03296,Patna-Barauni Memu Special,,,Fateha,09.03.2024
201,stoppage,19601/02,New Jalpaiguri-Udaipur Express,,,Salauna,09.03.2024
154,extension,16589,BENGALURU- SANGLI RANI CHENNAMMA EXPRESS,,SANGLI,,01.03.2024
154,extension,16590,MIRAJ- BENGALURU RANI CHENNAMMA EXPRESS,,SANGLI,,01.03.2024
154,extension,11411,PARLI VAJINATH- SANGLI DEMU,,SANGLI,,01.03.2024
154,extension,11412,MIRAJ- PARLI VAJINATH DEMU,,SANGLI,,01.03.2024
129,stoppage,20415/20416,Varanasi-Indore Kashi Mahakal Express,,,Fatehpur,23.02.2024
89,stoppage,11705/11706,Jabalpur Rewa Express,,,Ghunwara,14.02.2024
213,stoppage,12979/80,Bandra (T)-Jaipur Express,,,Navsari,13.03.2024
232,stoppage,15666/15665,Mariani-Guwahati BG Express,,,Bokajan,15.03.2024
232,stoppage,13173/13174,Sealdah-Agartala Kanchanjungha Express,,,Bihara,15.03.2024
232,stoppage,12883/12884,Santragachi-Purulia Rupshi Bangla Express,,,Chhatna,15.03.2024
232,stoppage,12885/12886,Shalimar-Bhojudih Aranyak Express,,,Chhatna,15.03.2024
232,stoppage,13153/13154,Sealdah-Malda Town Gour Express,,,Nalhati,15.03.2024
232,stoppage,12345/12346,Howrah-Guwahati Saraighat Express,,,Sainthia,15.03.2024
232,stoppage,08641/08642,Adra-Barkakana MEMU,,,Begunkodar,15.03.2024
232,stoppage,18182/18181,Thawe-Tatanagar Express,,,Barabhum,15.03.2024
232,stoppage,22891/22892,Howrah-Ranchi Intercity SF Express,,,Garh Jaipur,15.03.2024
232,stoppage,13319/13320,Dumka-Ranchi Express,,,Jhalida,15.03.2024
232,stoppage,13403/13404,Ranchi-Bhagalpur Vanachal Express,,,Jhalida,15.03.2024
232,stoppage,18623/18624,Hatia-Islampur Express,,,Jhalida,15.03.2024
232,stoppage,18623/18624,Hatia-Islampur Express,,,Kotshila,15.03.2024
232,stoppage,18625/18626,Purnea Court-Hatia Express,,,Kotshila,15.03.2024
232,stoppage,18623/18624,Hatia-Islampur Express,,,Pundag,15.03.2024
232,stoppage,18625/18626,Purnea Court-Hatia Express,,,Pundag,15.03.2024
232,stoppage,15027/15028,Sambalpur-Gorakhpur Maurya Express,,,Namkom,15.03.2024
232,stoppage,18309/18310,Sambalpur-Jammu Tawi Express,,,Namkom,15.03.2024
232,stoppage,18615/18616,Howrah-Hatia Kriya Yoga Express,,,Namkom,15.03.2024
232,stoppage,18625/18626,Hatia-Purnea Court SF Express,,,Namkom,15.03.2024
232,stoppage,18623/18624,Hatia-Islampur Express,,,Silli,15.03.2024
232,stoppage,15027/15028,Sambalpur-Gorakhpur Maurya Express,,,Tatisilwai,15.03.2024
